epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4859,2.23065,4.13131,1.72498,0.52948,0.40779,0.39946,0.15762,1.9719,2.20148,1.69114,0.000369376,0.000369376,0.000369376
2,67.1957,2.03444,2.50736,1.62127,0.48819,0.46758,0.45555,0.17826,1.93869,1.94187,1.70155,0.000725063,0.000725063,0.000725063
3,97.826,1.99247,2.07728,1.60038,0.56673,0.50511,0.54624,0.21914,1.94312,1.83427,1.67687,0.00106609,0.00106609,0.00106609
4,128.751,1.96616,1.93941,1.60395,0.6043,0.5126,0.50392,0.1994,1.98443,1.88354,1.72524,0.00104501,0.00104501,0.00104501
5,159.579,1.95014,1.81621,1.59185,0.59234,0.48901,0.50728,0.20389,2.00663,1.92931,1.84531,0.00102301,0.00102301,0.00102301
6,190.097,1.92701,1.70779,1.58197,0.6538,0.58955,0.62042,0.25602,1.91927,1.60983,1.75557,0.00100101,0.00100101,0.00100101
7,220.703,1.91277,1.66665,1.57002,0.75207,0.58312,0.68865,0.28288,1.88073,1.47671,1.73198,0.000979013,0.000979013,0.000979013
8,250.786,1.89076,1.61881,1.55929,0.69468,0.67015,0.72747,0.30653,1.88306,1.38155,1.72266,0.000957015,0.000957015,0.000957015
9,281.038,1.87717,1.57125,1.55442,0.72681,0.65475,0.70379,0.30903,1.83564,1.41025,1.65867,0.000935018,0.000935018,0.000935018
10,311.267,1.86258,1.54673,1.5348,0.72957,0.66225,0.7201,0.30625,1.87498,1.36768,1.72662,0.00091302,0.00091302,0.00091302
11,341.615,1.86195,1.51088,1.54378,0.75607,0.68393,0.73597,0.29855,1.90059,1.37794,1.71521,0.000891022,0.000891022,0.000891022
12,371.403,1.8418,1.46014,1.53509,0.74796,0.69079,0.74955,0.32881,1.83089,1.27785,1.67671,0.000869024,0.000869024,0.000869024
13,401.455,1.83753,1.44871,1.52172,0.66791,0.68029,0.69585,0.31351,1.85272,1.361,1.70687,0.000847026,0.000847026,0.000847026
14,431.677,1.83177,1.42602,1.5139,0.76573,0.70528,0.75733,0.335,1.82217,1.28963,1.67531,0.000825029,0.000825029,0.000825029
15,461.424,1.82508,1.40534,1.51407,0.74995,0.70081,0.76945,0.34757,1.80668,1.27775,1.6435,0.000803031,0.000803031,0.000803031
16,491.559,1.81314,1.38557,1.50623,0.7529,0.7108,0.77643,0.34901,1.80781,1.23009,1.62982,0.000781033,0.000781033,0.000781033
17,521.186,1.82324,1.36591,1.50589,0.81697,0.74541,0.80075,0.34342,1.84343,1.23111,1.66547,0.000759035,0.000759035,0.000759035
18,551.127,1.80153,1.34273,1.4956,0.8214,0.71431,0.79219,0.34142,1.83253,1.253,1.67586,0.000737037,0.000737037,0.000737037
19,580.981,1.78747,1.33273,1.48389,0.8271,0.75432,0.82829,0.36091,1.81574,1.21086,1.64351,0.00071504,0.00071504,0.00071504
20,610.867,1.8004,1.3036,1.50158,0.80399,0.75739,0.81147,0.35073,1.87177,1.18811,1.67754,0.000693042,0.000693042,0.000693042
21,640.631,1.79177,1.30709,1.48697,0.81045,0.75298,0.8224,0.36307,1.81672,1.17514,1.66153,0.000671044,0.000671044,0.000671044
22,670.317,1.78164,1.28365,1.48539,0.80206,0.76247,0.81197,0.36441,1.82743,1.15474,1.64285,0.000649046,0.000649046,0.000649046
23,700.305,1.77312,1.28219,1.47216,0.79436,0.73436,0.79167,0.35946,1.79378,1.18721,1.6203,0.000627048,0.000627048,0.000627048
24,730.054,1.76475,1.27296,1.46983,0.80657,0.75501,0.81457,0.37329,1.8109,1.15375,1.64776,0.000605051,0.000605051,0.000605051
25,760.057,1.76526,1.26994,1.46702,0.83921,0.78221,0.84185,0.38342,1.78041,1.12552,1.62871,0.000583053,0.000583053,0.000583053
26,789.668,1.76356,1.23829,1.47185,0.83839,0.7973,0.84714,0.37045,1.83249,1.11282,1.65438,0.000561055,0.000561055,0.000561055
27,819.411,1.76722,1.23316,1.47085,0.84711,0.78107,0.84266,0.38271,1.78119,1.10638,1.62238,0.000539057,0.000539057,0.000539057
28,849.21,1.7582,1.22792,1.4566,0.82157,0.79845,0.84079,0.37373,1.80948,1.11453,1.61681,0.000517059,0.000517059,0.000517059
29,879.1,1.73886,1.20435,1.44954,0.84673,0.78349,0.84825,0.381,1.79716,1.09929,1.62345,0.000495062,0.000495062,0.000495062
30,909.324,1.74195,1.17147,1.44943,0.83779,0.7988,0.84457,0.38467,1.81591,1.08709,1.64141,0.000473064,0.000473064,0.000473064
31,939.351,1.7333,1.18339,1.44495,0.84388,0.79605,0.85493,0.383,1.81478,1.0778,1.6428,0.000451066,0.000451066,0.000451066
32,969.168,1.73339,1.15868,1.43943,0.84668,0.77903,0.84733,0.38589,1.817,1.07113,1.63286,0.000429068,0.000429068,0.000429068
33,998.927,1.7166,1.15646,1.43604,0.82805,0.8209,0.85654,0.39165,1.80236,1.04363,1.63383,0.00040707,0.00040707,0.00040707
34,1028.6,1.72154,1.14625,1.42791,0.85032,0.82149,0.86896,0.39556,1.80977,1.03536,1.61832,0.000385073,0.000385073,0.000385073
35,1058.62,1.71667,1.1406,1.42099,0.85347,0.79552,0.85688,0.39684,1.79244,1.04689,1.62219,0.000363075,0.000363075,0.000363075
36,1088.4,1.70877,1.10593,1.42292,0.86226,0.79675,0.85401,0.38654,1.82476,1.05224,1.62252,0.000341077,0.000341077,0.000341077
37,1118.37,1.69247,1.11039,1.41237,0.85546,0.82366,0.86654,0.39581,1.80343,1.04775,1.61373,0.000319079,0.000319079,0.000319079
38,1148.59,1.70716,1.11212,1.42097,0.84076,0.81335,0.86011,0.38849,1.80818,1.03981,1.61383,0.000297081,0.000297081,0.000297081
39,1178.41,1.70064,1.09393,1.41362,0.88877,0.81701,0.88084,0.39927,1.83087,1.00402,1.62719,0.000275084,0.000275084,0.000275084
40,1208.46,1.69983,1.08009,1.41058,0.85115,0.8232,0.87008,0.39463,1.81642,1.00991,1.61655,0.000253086,0.000253086,0.000253086
41,1240.26,1.65845,0.94361,1.51211,0.86194,0.8271,0.87751,0.40343,1.78711,0.99862,1.60185,0.000231088,0.000231088,0.000231088
42,1270.71,1.64791,0.92106,1.49767,0.8709,0.83585,0.88173,0.40773,1.8078,0.98027,1.62335,0.00020909,0.00020909,0.00020909
43,1301.2,1.64358,0.91068,1.49604,0.86866,0.84084,0.8799,0.39814,1.82976,0.98098,1.62825,0.000187092,0.000187092,0.000187092
44,1331.68,1.62498,0.9024,1.48345,0.89251,0.85009,0.89019,0.4078,1.80177,0.95982,1.62835,0.000165095,0.000165095,0.000165095
45,1363.51,1.61846,0.87652,1.48062,0.88853,0.84167,0.88728,0.40926,1.81906,0.95871,1.62942,0.000143097,0.000143097,0.000143097
46,1394.13,1.611,0.87164,1.47382,0.88248,0.84604,0.88745,0.4098,1.81194,0.95166,1.6258,0.000121099,0.000121099,0.000121099
47,1425.79,1.60468,0.86197,1.47464,0.88081,0.84746,0.88958,0.40766,1.83024,0.94755,1.63827,9.91012e-05,9.91012e-05,9.91012e-05
48,1455.68,1.59605,0.84367,1.47089,0.88759,0.8435,0.88847,0.40595,1.83134,0.93658,1.63552,7.71034e-05,7.71034e-05,7.71034e-05
49,1488.44,1.58691,0.83962,1.46209,0.88402,0.84974,0.89152,0.40984,1.8227,0.94246,1.62919,5.51056e-05,5.51056e-05,5.51056e-05
50,1518.5,1.5807,0.83225,1.45924,0.8876,0.84501,0.89266,0.41276,1.81774,0.93144,1.6292,3.31078e-05,3.31078e-05,3.31078e-05
